normed,Letter,Letter_Percent,Letter_Points,Letter_Suffix_Aplus,Letter_Suffix_Aplus_Percent,Letter_Suffix_Aplus_Points,Letter_Suffix,Letter_Suffix_Grade,Points,DFW,Pass,Graded
105.0,A,90-100,4,A+,97-100,4,A,94-100,4,FALSE,TRUE,TRUE
104.0,A,90-100,4,A+,97-100,4,A,94-100,4,FALSE,TRUE,TRUE
103.0,A,90-100,4,A+,97-100,4,A,94-100,4,FALSE,TRUE,TRUE
102.0,A,90-100,4,A+,97-100,4,A,94-100,4,FALSE,TRUE,TRUE
101.0,A,90-100,4,A+,97-100,4,A,94-100,4,FALSE,TRUE,TRUE
100.0,A,90-100,4,A+,97-100,4,A,94-100,4,FALSE,TRUE,TRUE
99.0,A,90-100,3.91,A+,97-100,3.98,A,94-100,3.95,FALSE,TRUE,TRUE
98.0,A,90-100,3.82,A+,97-100,3.95,A,94-100,3.91,FALSE,TRUE,TRUE
97.0,A,90-100,3.73,A+,97-100,3.93,A,94-100,3.86,FALSE,TRUE,TRUE
96.0,A,90-100,3.64,A,93-96,3.9,A,94-100,3.81,FALSE,TRUE,TRUE
95.0,A,90-100,3.55,A,93-96,3.85,A,94-100,3.76,FALSE,TRUE,TRUE
94.0,A,90-100,3.45,A,93-96,3.8,A,94-100,3.72,FALSE,TRUE,TRUE
93.0,A,90-100,3.36,A,93-96,3.75,A-,90-93,3.67,FALSE,TRUE,TRUE
92.0,A,90-100,3.27,A-,90-92,3.7,A-,90-93,3.59,FALSE,TRUE,TRUE
91.0,A,90-100,3.18,A-,90-92,3.57,A-,90-93,3.5,FALSE,TRUE,TRUE
90.0,A,90-100,3.09,A-,90-92,3.43,A-,90-93,3.42,FALSE,TRUE,TRUE
89.0,B,80-89,3,B+,87-89,3.3,B+,87-89,3.33,FALSE,TRUE,TRUE
88.0,B,80-89,2.9,B+,87-89,3.2,B+,87-89,3.22,FALSE,TRUE,TRUE
87.0,B,80-89,2.8,B+,87-89,3.1,B+,87-89,3.11,FALSE,TRUE,TRUE
86.0,B,80-89,2.7,B,83-86,3,B,83-86,3,FALSE,TRUE,TRUE
85.0,B,80-89,2.6,B,83-86,2.93,B,83-86,2.92,FALSE,TRUE,TRUE
84.0,B,80-89,2.5,B,83-86,2.85,B,83-86,2.84,FALSE,TRUE,TRUE
83.0,B,80-89,2.4,B,83-86,2.78,B,83-86,2.75,FALSE,TRUE,TRUE
82.0,B,80-89,2.3,B-,80-82,2.7,B-,80-82,2.67,FALSE,TRUE,TRUE
81.0,B,80-89,2.2,B-,80-82,2.57,B-,80-82,2.56,FALSE,TRUE,TRUE
80.0,B,80-89,2.1,B-,80-82,2.43,B-,80-82,2.44,FALSE,TRUE,TRUE
79.0,C,70-79,2,C+,77-79,2.3,C+,77-79,2.33,FALSE,TRUE,TRUE
78.0,C,70-79,1.9,C+,77-79,2.2,C+,77-79,2.22,FALSE,TRUE,TRUE
77.0,C,70-79,1.8,C+,77-79,2.1,C+,77-79,2.11,FALSE,TRUE,TRUE
76.0,C,70-79,1.7,C,73-76,2,C,73-76,2,FALSE,TRUE,TRUE
75.0,C,70-79,1.6,C,73-76,1.93,C,73-76,1.92,FALSE,TRUE,TRUE
74.0,C,70-79,1.5,C,73-76,1.85,C,73-76,1.84,FALSE,TRUE,TRUE
73.0,C,70-79,1.4,C,73-76,1.78,C,73-76,1.75,FALSE,TRUE,TRUE
72.0,C,70-79,1.3,C-,70-72,1.7,C-,70-72,1.67,FALSE,TRUE,TRUE
71.0,C,70-79,1.2,C-,70-72,1.57,C-,70-72,1.56,FALSE,TRUE,TRUE
70.0,C,70-79,1.1,C-,70-72,1.43,C-,70-72,1.44,FALSE,TRUE,TRUE
69.0,D,60-69,1,D+,67-69,1.3,D+,67-69,1.33,TRUE,TRUE,TRUE
68.0,D,60-69,0.9,D+,67-69,1.2,D+,67-69,1.22,TRUE,TRUE,TRUE
67.0,D,60-69,0.8,D+,67-69,1.1,D+,67-69,1.11,TRUE,TRUE,TRUE
66.0,D,60-69,0.7,D,63-66,1,D,63-66,1,TRUE,TRUE,TRUE
